ESQUIU,,,,,
ESTADO DE ISRAEL,,,,,
ESTADOS UNIDOS,,,,,
ESTERO BELLACO,,,,,
ESTEVES SAGUI,,,,,
"ESTEVEZ, JOSE, ING.",,,,,
ESTIVAO,,,,,
ESTOCOLMO,,,,,
ESTOMBA,,,,,
ESTONIA,,,,,
ESTRADA,,,,,
"ESTRADA, Juez",,,,,
ESTRELLA FEDERAL,,,,,
EUCLIDES,,,,,
EYLE PETRONA,,,,,
"EZCURRA, ENCARNACION",,,,,
EZEIZA,,,,,
"EZEIZA, GABINO",,,,,
FABRE,,,,,
FACUNDO,,,,,
"FADER, FERNANDO",,,,,
"FAGNANO, JOSE",,,,,
"FALCON, RAMON L.,CNEL.",,,,,
FALUCHO,,,,,
FALUCHO SAN LUIS,,,,,
FAMAILLA,,,,,
FAMATINA,,,,,
FARADAY,,,,,
FECUNDIDAD,,,,,
FERNANDEZ,,,,,
FERNANDEZ BLANCO,,,,,
FERNANDEZ DE ENCISO,,,,,
"FERNANDEZ DE LA CRUZ, F., GRAL.",,,,,
FERNANDEZ ESPIRO DIEGO,,,,,
"FERNANDEZ MORENO, BALDOMERO",,,,,
"FERNANDEZ, MACEDONIO",,,,,
FERRARI,,,,,
"FERRARI, ANTONINO M.",,,,,
FERRE,,,,,
"FERREYRA, ANDRES",,,,,
FERROCARRIL,,,,,
"FIGUEROA ALCORTA, PRES.",,,,,
"FIGUEROA, APOLINARIO, Cnel.",,,,,
FILIBERTO,,,,,
"FILIBERTO, JUAN DE DIOS",,,,,
FINLANDIA,,,,,
"FINLAY, CARLOS J.",,,,,
FINOCHIETTO ENRIQUE DR.,,,,,
"FINOCHIETTO, RICARDO, Dr.",,,,,
"FITTE, MARCELO J., DR.",,,,,
FITZ ROY,,,,,
FLOR DEL AIRE,,,,,
"FLORES, VENANCIO, Gral.",,,,,
FLORESTA,,,,,
FLORIDA,,,,,
FONROUGE,,,,,
"FONTANA, LUIS J. Cnel.",,,,,
FOREST,,,,,
FORMOSA,,,,,
"FOULLIER, FELIX O.",,,,,
FOURNIER,,,,,
FRAGA,,,,,
FRAGATA 25 DE MAYO,,,,,
FRAGATA CEFIRO,,,,,
FRAGATA HALCON,,,,,
FRAGATA HERCULES,,,,,
FRAGATA LA ARGENTINA,,,,,
FRAGATA Pres. SARMIENTO,,,,,
FRAGATA TRINIDAD,,,,,
FRAGUEIRO,,,,,
FRANCO,,,,,
FRANKLIN,,,,,
FRATERNIDAD,,,,,
FRAY CAYETANO RODRIGUEZ,,,,,
FRAY JUSTO SANTAMARIA DE ORO,,,,,
FRAY LUIS BELTRAN,,,,,
"FREIRE, RAMON, CAP. GRAL.",,,,,
FRENCH,,,,,
"FREYRE, MARCELINO E., Cnel.",,,,,
"FRIAS,  EUSTAQUIO, TTE. GRAL.",,,,,
"GAINZA, MARTIN DE, GRAL.",,,,,
"GAITAN, LUIS",,,,,
"GAITO, CONSTANTINO",,,,,
